0,0,0.013974,-0.34157
0,0,0.02099,0.27381
0,-0.0010615,0.020006,-0.45545
0,-0.0011056,0.026615,0.0060878
-8.1177e-05,-0.0010847,0.019998,-0.48297
0,0,0.023848,-0.38231
0,0,0.0044331,0.069138
-9.8645e-05,0.0010139,0.026997,-0.45852
0,0,0.0055603,0.40566
-0.00015464,0.0013514,0.035244,-0.17156
0,-0.0006812,-0.00088784,0.4837
0,0,0.012577,0.0019262
8.8672e-05,-0.00080215,-0.016851,0.26161
0,-0.00040378,0.003038,0.04169
0,-0.00037803,-0.0098456,0.1402
0,-0.00057965,-0.0020084,0.072678
0,0.00019125,-0.0065058,0.051159
