0,-0.00027126,0.012529,-0.10495
0,0,0.0055498,0.15873
0,0,0.0035511,-0.053577
0,-0.00047135,0.016616,-0.0014796
-3.2696e-05,-0.00058998,0.014431,-0.11839
0,-0.00066856,0.00034282,0.14727
0,0,-0.015188,0.022201
-2.8103e-05,-0.00035039,0.0085507,-0.0037701
0,0.00029284,-0.0066126,0.18416
0,0,-0.0068828,0.12215
0,0.00024514,-0.008633,0.09578
0,7.485e-05,-0.0026901,0.089548
0,0,-0.0034668,0.15326
0,0.00011825,-0.0052644,0.054903
1.1387e-05,-0.00016328,-0.0018277,0.029418
0,0,-0.0015317,0.058826
0,-0.00017981,0.0013476,0.030171
