0,0,3.5207e-05,2.6302e-05
1.8652e-06,1.675e-05,-0.00056642,0.00097773
0,2.6945e-05,2.0374e-05,-0.010814
0,0,0.00066532,-0.0041112
-1.9043e-06,-3.8617e-05,0.00064178,-0.00057576
0,-3.2586e-05,2.7925e-05,-0.00044526
0,0,-0.00035265,0.0014211
1.463e-06,-2.1411e-05,-5.4147e-05,0.001506
0,0,-0.00026702,0.0068296
0,0,-0.00048473,0.0078625
0,0,-0.0002498,0.0018774
0,0,-0.00021364,0.0011577
0,0,0.00014409,0.00090042
0,0,-0.00032714,0.0015229
0,0,0.00010721,-0.00081029
0,0,-2.6356e-05,0.00088811
0,0,0.00015908,-0.00031506
-4.6134e-07,1.0454e-05,0.0001479,-0.0034061
0,0,0.00011947,-0.0014134
0,0,0.00012201,-0.002503
0,0,-2.2053e-05,0.0015206
0,0,-1.8488e-05,-0.00048278
0,-1.0973e-05,7.8272e-06,0.0036769
0,-6.8432e-06,1.7381e-05,0.0018529
0,-8.2197e-06,6.4546e-05,0.0031347
-1.2678e-07,-3.4439e-06,6.1545e-05,0.0018236
0,0,6.1773e-05,0.00037526
0,-5.0323e-06,7.612e-05,0.0016732
0,0,0,0
